"","Date","re_value"
"1",2020-03-31,269739
"2",2020-02-29,268810
"3",2020-01-31,267924
"4",2019-12-31,267407
"5",2019-11-30,266923
"6",2019-10-31,266532
"7",2019-09-30,266142
"8",2019-08-31,265874
"9",2019-07-31,265638
"10",2019-06-30,264968
"11",2019-05-31,264359
"12",2019-04-30,263335
"13",2019-03-31,263115
"14",2019-02-28,263335
"15",2019-01-31,263113
"16",2018-12-31,262321
"17",2018-11-30,261280
"18",2018-10-31,260209
"19",2018-09-30,258546
"20",2018-08-31,256961
"21",2018-07-31,255385
"22",2018-06-30,254361
"23",2018-05-31,253553
"24",2018-04-30,252918
"25",2018-03-31,251328
"26",2018-02-28,249165
"27",2018-01-31,247673
